Cast,Country,Date Added,Description,Director,Duration,Listed In,Rating,Release Year,Show Id,Title,Type
"Joaquín Ferreira, Marcela Álvarez, Benjamín Alfonso, Emilia Claudeville, Mauricio Llera, Sol Gaschetto, Martín Seefeld, Martín Rocco, Gonzalo VIzán","Mexico, Argentina",10/19/2018,Former Club de Cuervos player Potro returns home to Argentina to crash the wedding of his famous soccer-star brother and confront his estranged family.,Marcos Bucay,51 min,Movies,TV-MA,2018,80226951,"Club de Cuervos Presents: I, Potro",Movie
Derren Brown,,10/19/2018,Illusionist Derren Brown concocts a psychological experiment in which he tries to manipulate an ordinary person into taking a bullet for a stranger.,,50 min,Movies,TV-MA,2018,80216677,Derren Brown: Sacrifice,Movie
"Becky G., Josh Peck, Tara Strong, Olivia Holt, David Koechner, Jeff Dunham, Patrick Stump, Nash Grier, Madison De La Garza, George Lopez","United Kingdom, Canada, United States, Cayman Islands",10/19/2018,"After moving into a new house with her mom, high schooler Chloe discovers a troupe of talking garden gnomes who need her help saving the world.",Peter Lepeniotis,86 min,"Children & Family Movies, Comedies",PG,2018,80232279,Gnome Alone,Movie
"Gang Dong-won, Han Hyo-joo, Jung Woo-sung, Kim Mu-yeol, Han Ye-ri, Choi Min-ho, Shin Eun-soo, Kim Beop-rae, Lee Dong-ha, Jung Won-joong, Choi Jin-ho",South Korea,10/19/2018,"In 2029, the elite police squad Illang combats a terrorist group opposing reunification of the two Koreas. But another enemy may be lurking nearby.",Kim Jee-woon,140 min,"Action & Adventure, International Movies, Sci-Fi & Fantasy",TV-MA,2018,80239666,Illang: The Wolf Brigade,Movie
"Siddique, Anjali Patil, Lakshmi Menon, Nina Kurup, Rathna Shekar Reddy, Anoop Aravindan",India,10/19/2018,"A father leading a dark double life and his daughter, who's eager to pursue her studies in Hyderabad, face the tragic consequences of sex trafficking.",Rajesh Touchriver,122 min,"Dramas, International Movies",TV-MA,2013,81011973,Naa Bangaaru Talli,Movie
"Nadia Ramlee, Chio Su-Ping, Jeremy Linn, Marlon Dance-Hooi",,10/19/2018,"Dressed up as detective Sherlock Holmes, Slick must crack the case when a magician turns Jeff's spooky-costume party guests into their scary alter egos.",,23 min,Movies,TV-Y,2018,81031037,Oddbods: Party Monsters,Movie
"Louis Koo, Julian Cheung, Vic Chou, Ada Choi, Bowie Lam, Dada Chan, Janelle Sing, Lo Hoi-pang","Hong Kong, China",10/19/2018,Anti-corruption investigator William Luk must join forces with detective Lau Po-keung to bring down a crime syndicate involved in sports betting.,David Lam,95 min,"Action & Adventure, International Movies",TV-MA,2016,80144152,S Storm,Movie
"Selva Rasalingam, Karima Gouit, Mourad Zaoui, El Mahmoudi M'Barek, Abdelilah Wahbi, Abdelaziz N'Mila, Ait Youssef Youssef, Mohamed El Korchi, Ramdane Aala","United States, United Kingdom, Morocco",10/19/2018,Word-for-word Bible texts of the entire book of Luke are narrated and re-enacted in this epic production of the Gospel's accounts of Jesus's life.,David Batty,205 min,"Dramas, Faith & Spirituality",TV-14,2015,81035749,The Gospel of Luke,Movie
"Selva Rasalingam, Mourad Zaoui, El Mahmoudi M'Barek, Abdelilah Wahbi, Abdelaziz N'Mila, Ait Youssef Youssef",,10/19/2018,"See Jesus from a disciple's point of view in this first-ever, word-for-word film adaptation of the Gospel of Mark, lauded for its historical accuracy.",David Batty,123 min,"Dramas, Faith & Spirituality",TV-14,2015,81035750,The Gospel of Mark,Movie
"Selva Rasalingam, Mourad Zaoui, Karima Gouit, El Mahmoudi M'Barek, Abdelilah Wahbi, Ait Youssef Youssef, Ramdane Aala, Mohamed El Korchi",,10/19/2018,The Apostle Matthew is highlighted in this word-for-word film adaptation of the former tax collector's Biblical writings about working with Jesus.,David Batty,190 min,"Dramas, Faith & Spirituality",TV-14,2014,81035751,The Gospel of Matthew,Movie
"Joe Taslim, Iko Uwais, Asha Kenyeri Bermudez, Sunny Pang, Salvita Decorte, Abimana Aryasatya, Zack Lee, Dimas Anggara, Julie Estelle, Dian Sastrowardoyo","Indonesia, United States",10/19/2018,"After sparing a girl's life during a massacre, an elite Triad assassin is targeted by an onslaught of murderous gangsters.",Timo Tjahjanto,121 min,"Action & Adventure, International Movies",TV-MA,2018,80148162,The Night Comes for Us,Movie
"Toni Collette, Steven Mackintosh, Zawe Ashton, Joe Hurst, Emma D'Arcy, Celeste Dring, William Ash, Royce Pierreson, Jeremy Swift, Anastasia Hille, Isis Hainsworth, Sophie Okonedo",United Kingdom,10/19/2018,"Unable to revive their fading sex life after many years of marriage, a therapist and her husband decide to start dating other people.",,1 Season,"British TV Shows, International TV Shows, Romantic TV Shows",TV-MA,2018,80211465,Wanderlust,TV Show
"Reem Kherici, Nicolas Duvauchelle, Julia Piaton, Sylvie Testud, François-Xavier Demaison, Chantal Lauby, Lionnel Astier, Ève Saint-Louis, Victoria Monfort, Amelie Fonlupt",France,10/19/2017,"Mathias's girlfriend finds a business card for a wedding planner in his pocket. Suddenly, he's engaged and hiring his lover to plan the big day!",Reem Kherici,94 min,"Comedies, International Movies, Romantic Movies",TV-MA,2017,80171705,Wedding Unplanned,Movie
"Ayo Makun, Adesua Etomi, Richard Mofe-Damijo, Mercy Johnson, Falz, Tuface Idibia, Thenjiwe Moseley, Motlatsi Mafatshe, Celeste Ntuli, Miguel A. Núñez Jr.",South Africa,10/18/2019,"After his girlfriend wins the Miss Nigeria pageant, a young man faces unexpected competition of his own when he joins her on a campaign in South Africa.",Adze Ugah,87 min,"Comedies, International Movies, Romantic Movies",TV-14,2017,81172729,10 Days in Sun City,Movie
"Bimbo Akintola, Somkele Iyamah, Danny Glover, Gideon Okeke, Seun Kentebe, Keppy Ekpenyong, Zara Udofia Ejoh, Bimbo Manuel, Patrick Diabuah, Tina Mba, Alastair Mackenzie, Tim Reid",Nigeria,10/18/2019,Heroic health workers fight to contain an Ebola outbreak when a patient arrives in Lagos with symptoms of the deadly virus. Based on a true story.,Steve Gukas,121 min,"Dramas, International Movies, Thrillers",TV-14,2016,81172895,93 Days,Movie
"Charlie Shotwell, Lili Taylor, Kelly Reilly, Max Martini, Sadie Sink, Deneen Tyler, Katia Gomez",United States,10/18/2019,"With his desperate parents in tow, an 11-year-old boy with a debilitating illness checks into an isolated clinic to undergo experimental therapy.",Ciarán Foy,98 min,Horror Movies,TV-MA,2019,80206910,Eli,Movie
"Sam Dede, Bimbo Manuel, Okawa Shaznay, Shan George, Austin Enabulele, Precious Udoh",,10/18/2019,"A teacher turns to a dubious man to raise money for her daughter's life-saving surgery, a crisis that is unexpectedly catapulted to a national stage.",Frank Rajah Arase,99 min,"Dramas, International Movies",TV-14,2018,81172905,In My Country,Movie
,United Kingdom,10/18/2019,Aspiring interior designers transform a variety of spaces from dowdy to delightful as they vie for a life-changing contract with a top London hotel.,,1 Season,"British TV Shows, International TV Shows, Reality TV",TV-PG,2019,80217627,Interior Design Masters,TV Show
"Paul Rudd, Aisling Bea, Desmin Borges, Zoë Chao, Karen Pittman",United States,10/18/2019,"Burned out on life, Miles undergoes a strange procedure at a strip mall spa – and wakes to find he's been replaced by a better version of himself.",,1 Season,"TV Comedies, TV Dramas",TV-MA,2019,80178724,Living with Yourself,TV Show
"Aylin Kontante, Bülent Emrah Parlak, Büşra Pekin, Çağlar Çorumlu, Fatih Artman, Gupse Özay, Serkan Keskin, Şebnem Bozoklu",Turkey,10/18/2019,"When a group of people meets at the same party, they form four different relationships, each experiencing similar phases of love.",Yılmaz Erdoğan,95 min,"Comedies, International Movies, Romantic Movies",TV-14,2017,81132442,"Love, Surreal and Odd",Movie
"Samriddhi Shukla, Nishka Raheja, Arannya Kaur, Shanoor Mirza, Rajesh Kava",India,10/18/2019,"From decorating his home to devouring sweets, join Bheem as he makes merry – and a bit of mischief – while the festival of lights is in full swing.",,1 Season,"Kids' TV, TV Comedies",TV-Y,2019,81020066,Mighty Little Bheem: Diwali,TV Show
"Kim Jae-ha, Kwon Ji-hye, Lee Bo-hee, Um Sang-hyun, Jung Yoon-jung, Kim Bo-min, Hong So-young, Hong Bum-ki, Ahn Jang-hyuk",,10/18/2019,Jin and his dragon monster Draka set out on a racing adventure and try to save the kingdom from evil forces.,,1 Season,"Kids' TV, Korean TV Shows",TV-Y7,2017,81193245,MONKART,TV Show
"Jemima Osunde, Blossom Chukwujekwu, Kate Henshaw-Nuttal, Dakore Akande, Wale Ojo, Wofai Fada, Osas Ighodaro Ajibade, Falz, Daniel Effiong, Adeolu Adefarasin",Nigeria,10/18/2019,An aspiring fashion designer's life is transformed after she discovers she’s the heiress of a billion-dollar empire left by her estranged father.,Tope Oshin,107 min,"Dramas, International Movies",TV-14,2018,81172723,New Money,Movie
"Biel Montoro, Nacho Sánchez, Lola Cordón, Itsaso Arana, Chani Martín, Iñigo Aranburu, Kandido Uranga, Javier Cifrián, Mamen Duch, Carolina Clemente, Jorge Cabrera, Daniel Fuster, Edgar Costas, Patxi Santamaría",Spain,10/18/2019,"To find his therapy dog, a 17-year-old escapes from juvie and embarks on a journey of reconnection with his brother and grandmother through Cantabria.",Daniel Sánchez Arévalo,100 min,"Comedies, Dramas, International Movies",TV-MA,2019,80990336,Seventeen,Movie
"Rahama Sadau, Sambasa Nzeribe, Segun Arinze, Gabriel Afolayan, Desmond Elliot, Funlola Aofiyebi, Toyin Aimakhu, Stephen Demian, Afeez Oyetoro, Oludara Egerton Shyngle",Nigeria,10/18/2019,"Doubting her future as a nun, a woman attempts to have a child, triggering a mystic tribal prophecy that could force her to make a godly sacrifice.",Don Omope,101 min,"Action & Adventure, Dramas, International Movies",TV-MA,2017,81172909,Tatu,Movie
,United Kingdom,10/18/2019,"In this documentary, Alex trusts his twin, Marcus, to tell him about his past after he loses his memory. But Marcus is hiding a dark family secret.",Ed Perkins,86 min,Documentaries,TV-MA,2019,80214706,Tell Me Who I Am,Movie
"Meryl Streep, Gary Oldman, Antonio Banderas, Sharon Stone, James Cromwell, Jeffrey Wright, Melissa Rauch, Jeff Michalski, Jane Morris, Robert Patrick, David Schwimmer",United States,10/18/2019,"When a widow gets swindled out of insurance money, her search for answers leads to two cunning lawyers in Panama who hide cash for the superrich.",Steven Soderbergh,96 min,"Comedies, Dramas",R,2019,80994011,The Laundromat,Movie
,United States,10/18/2019,"From eradicating disease to selecting a child’s traits, gene editing gives humans the chance to hack biology. Meet the real people behind the science.",,1 Season,"Docuseries, Science & Nature TV",TV-MA,2019,80208910,Unnatural Selection,TV Show
"Banky Wellington, Rahama Sadau, Kanayo O. Kanayo, Ibrahim Suleiman, Michelle Dede, Adesua Etomi, Hilda Dokubo, Akin Lewis",Nigeria,10/18/2019,A pampered heir must complete a year of service work to inherit his dad's assets but unearths new goals when he's placed in an unfamiliar region.,Tope Oshin,99 min,"Dramas, International Movies",TV-14,2018,81172902,Up North,Movie
"Priyanshu Painyuli, Chandrachoor Rai, Shadab Kamal, Rajeev Siddhartha, Sheetal Thakur, Ninad Kamat, Swati Semwal, Eijaz Khan",India,10/18/2019,"Hoping to do good while making millions, three college graduates create a startup. But as business begins to flourish, their own bond starts to fray.",Udai Singh Pawar,112 min,"Comedies, Dramas, International Movies",TV-14,2019,80998890,Upstarts,Movie
"Fedi Nuril, Tatjana Saphira, Dewi Sandra, Chelsea Islan, Nur Fazura, Pandji Pragiwaksono, Arie Untung, Bront Palarae, Dewi Irawan",Indonesia,10/18/2019,"Now a lecturer in Edinburgh, Fahri tries to begin a new chapter as the love of his life, Aisha, volunteers in the Gaza Strip. Have they moved on?",Guntur Soeharjanto,127 min,"Dramas, Faith & Spirituality, International Movies",TV-14,2017,81047903,Verses of Love 2,Movie
"Karthik, Gautam Karthik, Regina Cassandra, Varalakshmi Sarathkumar, Santhosh Prathap, Mime Gopi, J. Mahendran, Viji Chandrasekhar",India,10/18/2018,"When the lives of a carefree boxer and his cabdriver dad collide with the ambitions of a ruthless businessman, a search for answers turns to revenge.",Thiru,131 min,"Dramas, International Movies, Thrillers",TV-MA,2018,81026343,Mr. Chandramouli,Movie
,,10/18/2017,Popular South American bands Márama and Rombai share footage of behind-the-scenes antics and discuss their sudden rise to stardom.,Federico Lemos,79 min,"Children & Family Movies, Documentaries, International Movies",TV-PG,2016,80208635,El Viaje: Márama y Rombai,Movie
"Jaden Smith, Jackie Chan, Taraji P. Henson, Wenwen Han, Yu Rongguang, Zhensu Wu, Zhiheng Wang, Zhenwei Wang, Shijia Lü, Yi Zhao","United States, China",10/17/2019,"After moving to Beijing with his mother, Dre falls prey to a bully, so he takes lessons from a martial arts master in this remake of the 1984 classic.",Harald Zwart,140 min,"Children & Family Movies, Dramas",PG,2010,70125931,The Karate Kid,Movie
"Vrund Rao, Ved Rao, Abigail Adriano, Miah Madden, Jean Hinchliffe, Nya Cofie, Saba Zaidi Abdi, Nicholas Brown, Virginie Laverdure, Avishma Lohith, Zenia Starr, Suzi Dougherty, Aria Ferris, Danny Kim, Annabel Wolfe",Australia,10/17/2019,"When they learn of a secret plot to track and control kids, identical twins Dru and Kal team up with a band of runaway rebels to take back their world.",,1 Season,"Kids' TV, TV Thrillers",TV-PG,2019,80222326,THE UNLISTED,TV Show
"Matthew Knight, Vanessa Morgan, Atticus Mitchell, Cameron Kennedy, Kate Todd, Joe Dinicol, Ella Jonas Farlinger, Ari Cohen, Laura de Carteret, Hrant Alianak",Canada,10/17/2018,"When their parents head out for the evening, Ethan and his little sister get the babysitter of their nightmares: a fledgling vampire named Sarah.",Bruce McDonald,80 min,"Children & Family Movies, Comedies",TV-PG,2010,70235768,My Babysitter's a Vampire: The Movie,Movie
Patton Oswalt,United States,10/17/2017,"By turns scathing and candid, Patton Oswalt reflects on the glut of comic material in the Trump era and the dark days following a personal tragedy.",Bobcat Goldthwait,66 min,Stand-Up Comedy,TV-MA,2017,80177406,Patton Oswalt: Annihilation,Movie
"Seo Hyun-jin, Eric Moon, Jeon Hye-bin, Ye Ji-won, Kim Ji-seok, Lee Jae-yoon, Lee Han-wi, Kim Mee-kyeong, Oh Man-seok, Lee Pil-mo",South Korea,10/16/2019,"A sound director who suddenly starts getting visions of someone else’s future gets mired in the lives of two women, who happen to share the same name.",,1 Season,"International TV Shows, Korean TV Shows, Romantic TV Shows",TV-14,2016,81077044,Another Miss Oh,TV Show
,United States,10/16/2019,"Shocked when their friend embraces extremism, a group of Muslim Americans in Texas recount their time with him and theories about his fate.",Bassam Tariq,22 min,Documentaries,TV-MA,2019,81081656,Ghosts of Sugar Land,Movie
,United States,10/16/2019,"Fans, experts and creators of the ""League of Legends"" detail the game’s rise from free demo to global esports titan.",Leslie Iwerks,78 min,Documentaries,TV-MA,2019,81187847,League of Legends Origins,Movie
Park Na-rae,South Korea,10/16/2019,"Korea’s beloved comedian and favorite big sister figure talks sex, relationships and celebrity life. And she’s sassier and dirtier than ever before.",Kim Joo-hyung,63 min,Stand-Up Comedy,TV-MA,2019,81053240,Park Na-rae: Glamour Warning,Movie
"Choi Ji-woo, Lee Sang-yun, Choi Won-young, Kim Min-jae, Son Na-eun, Jung Soo-young, Choi Yoon-so, Park Hyo-ju",South Korea,10/16/2019,"Facing major changes, a mother realizes it's time to live for herself and decides to enroll in college, where she finds her dream as well as new love.",,1 Season,"International TV Shows, Korean TV Shows, Romantic TV Shows",TV-14,2015,81167011,Second 20s,TV Show
"Shannyn Sossamon, John Beasley, James Ransone, Tate Ellington, Robert Daniel Sloan, Dartanian Sloan, Lucas Jade Zumann, Lea Coco","United States, United Kingdom",10/16/2019,"A single mother and her twin sons move into a rural house, unaware of its history of being inhabited by an evil spirit that preys upon young children.",Ciarán Foy,97 min,Horror Movies,R,2015,80043834,Sinister 2,Movie
"Arnold Schwarzenegger, Lewis Hamilton, James Wilks, Patrik Baboumian, Scott Jurek, Nimai Delgado, Morgan Mitchell, Rip Esselstyn, Dotsie Bausch, Damien Mander, Michael Thomas, Dr. Dean Ornish, David Goldman",United States,10/16/2019,"Special Forces trainer James Wilks asks elite athletes to compare the merits of meat, protein and plants for building strength. Spoiler: plants win.",Louie Psihoyos,86 min,"Documentaries, Sports Movies",TV-MA,2018,81157840,The Game Changers,Movie
Ron White,United States,10/16/2018,"Ron “Tater Salad” White dishes out his signature brand of cynicism, riffing on sex, celebrity and the sinister habits of wild geese.",Tom Forrest,63 min,Stand-Up Comedy,TV-MA,2018,80244900,"Ron White: If You Quit Listening, I'll Shut Up",Movie
"Ajay Devgn, Emraan Hashmi, Vidyut Jamwal, Ileana D'Cruz, Esha Gupta, Sanjay Mishra, Sunny Leone, Sharad Kelkar, Priyanshu Chatterjee, Denzil Smith",India,10/16/2017,"In 1975, during the government-declared Emergency, thief Bhawani and his crew plan a daring robbery to reclaim his royal lover's seized treasures.",Milan Luthria,135 min,"Action & Adventure, International Movies",TV-14,2017,80211134,Baadshaho,Movie
"Eric Bana, Rebecca Hall, Ciarán Hinds, Riz Ahmed, Anne-Marie Duff, Kenneth Cranham, Julia Stiles, Jim Broadbent, Denis Moschitto, Barbora Bobulova, Jemma Powell","United Kingdom, United States",10/16/2017,"Martin and Claudia, top-flight lawyers who happen to be former lovers, become targets when they're teamed up to defend a notorious terrorist.",John Crowley,96 min,"Dramas, Thrillers",R,2013,70271601,Closed Circuit,Movie
"Yenn Teoh, Leslie Chai, Elvis Chin, Candy Ice, Jacky Kam, Jordan Voon, Alvin Wong",United States,10/16/2017,"Familial bonds strain as dramas concerning love, greed, business and generosity simmer across generations.",,1 Season,"International TV Shows, TV Dramas",TV-14,2011,80136786,Footprints in the Sand,TV Show
"Kelvin Leong, Remon Lim, Loo Aye Keng, Lawrence Wong, Frederick Lee, Danielle Dai, Joey Leong",,10/16/2017,"Once domineered by her own mother, a well-meaning matriarch has trouble being lax with her children, especially when her daughter-in-law moves in.",,1 Season,"International TV Shows, Romantic TV Shows, TV Dramas",TV-PG,2016,80136788,In Laws,TV Show
"Zoe Tay, Ann Kok, Tiffany Leong, Tay Ping Hui, Yao Wenlong, Shaun Chen, Paige Chua, Nat Ho, Desmond Sim",,10/16/2017,"Personal desires guide the lives of a marriage-averse entrepreneur, a housewife coping with infidelity and a career woman who leaves her spouse.",,1 Season,"International TV Shows, TV Dramas",TV-14,2016,80136787,La Femme,TV Show
"Wayne Chua, Frederick Lee, Steve Yap, Tiffany Leong, Aenie Wong, Kyo Chen, Angie Seow",,10/16/2017,"Four couples – a speed-dating pair, a husband and wife, a man living with an older woman and co-workers with opposite views – weather ups and downs.",,1 Season,"International TV Shows, Romantic TV Shows, TV Comedies",TV-14,2012,80136454,Laws of Attraction,TV Show
"Farhan Akhtar, Diana Penty, Ronit Roy, Gippy Grewal, Deepak Dobriyal, Inaamulhaq, Rajesh Sharma",India,10/16/2017,"After being arrested for a crime he didn't commit, an aspiring musician teams up with some of his inmates at Lucknow Central to form a band.",Ranjit Tiwari,144 min,"Dramas, International Movies, Music & Musicals",TV-14,2017,80204433,Lucknow Central,Movie
Tom Fassaert,"Netherlands, Denmark, South Africa",10/16/2016,The filmmaker hunts for the missing puzzle pieces of his family history during a visit with a complex and controversial figure: his grandmother.,Tom Fassaert,111 min,"Documentaries, International Movies",TV-PG,2015,80089199,A Family Affair,Movie
Anthony Jeselnik,United States,10/16/2015,There's no subject too dark as the comedian skewers taboos and riffs on national tragedies before pulling back the curtain on his provocative style.,Adam Dubin,59 min,Stand-Up Comedy,TV-MA,2015,80043049,Anthony Jeselnik: Thoughts and Prayers,Movie
"Idris Elba, Abraham Attah, Kurt Egyiawan, Jude Akuwudike, Emmanuel ""King Kong"" Nii Adom Quaye, Ama K. Abebrese, Kobina Amissah Sam, Francis Weddey, Richard Pepple",United States,10/16/2015,"When civil war tears his family apart, a young West African boy is forced to join a unit of mercenary fighters and transform into a child soldier.",Cary Joji Fukunaga,137 min,"Dramas, Independent Movies",NR,2015,80044545,Beasts of No Nation,Movie
"Julie Benz, Mercy Malick, Carter Jenkins, Molly Jackson, Michael Nardelli, Sara Sanderson, Kevin Sheridan, Cesar Garcia, Lisa Pelikan, Zachary James Rukavina, Lawrence Kao, Jordi Vilasuso, Kaiwi Lyman-Mersereau, Michael McLafferty, Allegra Masters, Autumn Federici, John Edward Lee, Matt Corboy",United States,10/16/2015,"When a group of strangers is seized and awaits execution, they face the impossible task of choosing the one person among them worthy of being spared.","Aaron Hann, Mario Miscione",86 min,"Dramas, Independent Movies, Sci-Fi & Fantasy",NR,2015,80070182,Circle,Movie
"Güler Ökten, Hazal Türesan, İlkin Tüfekçi, Bedia Ener, Erkan Can, Öykü Karayel, Emre Kızılırmak, Bestemsu Özdemir, Engin Akyürek, Burak Tamdoğan, Saygın Soysal, Tuba Büyüküstün, Ali Yörenç, Ahmet Tansu Taşanlar, Elif İnci",Turkey,10/15/2019,"After a cop's fiancée and a jewelry designer's father are found dead together, the two bereaved ones face a perilous aftermath of a theft gone wrong.",Ahmet Katıksız,1 Season,"Crime TV Shows, International TV Shows, TV Dramas",TV-MA,2014,80176234,Black Money Love,TV Show
"Jim Carrey, Marton Csokas, Charlotte Gainsbourg, Agata Kulesza, Kati Outinen, Zbigniew Zamachowski, Danuta Kowalska, Vlad Ivanov, Robert Więckiewicz, Piotr Głowacki","United Kingdom, Poland, United States",10/15/2019,A detective on a cold murder case discovers that a famous writer’s latest novel contains details chillingly similar to the crime he’s investigating.,Alexandros Avranas,93 min,"Dramas, Thrillers",R,2016,80992769,Dark Crimes,Movie
"Parambrata Chatterjee, Ani Hovhannisyan, Jonathan Dumontier, Varzu, Sylvie de Neef, Prakashchandra Roy, Nicolas Pierson, Anahit Simonyan",,10/15/2019,"Determined to trace her ancestral history, an Armenian woman travels to a French village, where she befriends a kind man and, better yet, finds herself.",Anindya Chatterjee,73 min,"Dramas, Independent Movies, International Movies",TV-PG,2019,81191228,Homeland,Movie
,,10/15/2019,"From Argentina to Colombia, this stunning documentary follows five characters who share their deep connection to South America's majestic mountains.",,1 Season,"Docuseries, International TV Shows, Science & Nature TV",TV-G,2019,81154549,Magical Andes,TV Show
"Rorrie D. Travis, Jazz Baduwalia, Jacqueline Scislowski, Abraham Rodríguez, Teuila Blakely, Kristina Ho, Cosme Flores, Kevin Copeland",United States,10/15/2019,A new breed of secret agents must stop a ruthless computer virus and its minions from stealing the unlimited clean energy source that created them.,,1 Season,Kids' TV,TV-Y7-FV,2019,81192594,Power Rangers Beast Morphers,TV Show
"Rasika Dugal, Devdutt Pattanaik",India,10/15/2018,"Through chats with host Rasika Dugal, mythologist Devdutt Pattanaik explores the meaning and modern-day relevance of Indian folklore and philosophy.",,1 Season,International TV Shows,TV-PG,2017,81006356,Devlok with Devdutt Pattanaik,TV Show
"Barun Chanda, Sabyasachi Chakraborty",India,10/15/2018,"A professor mysteriously vanishes, leaving behind a host of suspects, a shadowy history and a clue: the anonymous birthday gift of a Bengali classic.",Anik Datta,150 min,"Dramas, International Movies",TV-14,2017,81025935,Meghnadbodh Rohoshyo,Movie
"Ranbir Kapoor, Vicky Kaushal, Paresh Rawal, Sonam Kapoor, Dia Mirza, Jim Sarbh, Anushka Sharma, Manisha Koirala, Boman Irani",India,10/15/2018,"From the depths of addiction to the heights of stardom to underworld entanglements, this biopic traces the checkered past of Indian actor Sanjay Dutt.",Rajkumar Hirani,159 min,"Dramas, International Movies",TV-MA,2018,81020508,Sanju,Movie
,United Kingdom,10/15/2018,"When it comes to daring stunts and outrageous pranks, we often wonder: What were they thinking? This high-octane series tries to find some answers.",,1 Season,"British TV Shows, International TV Shows, Reality TV",TV-MA,2018,80241004,Stunt Science,TV Show
"Johnny Baweja, Reeth Mazumder, Manav Kaul, Tanvi Vyas, Puru Chibber, Vasundhara Kaul, Aayam Mehta, Niraj Sah",India,10/15/2017,"A film school graduate is interested in making a movie about his girlfriend's uncle, who claims that he can see his long-dead daughter.",Ishaan Trivedi,108 min,"International Movies, Thrillers",TV-MA,2016,80201824,A Scandall,Movie
"Palash Sen, Ira Dubey, Yashpal Sharma, Tinnu Anand, Prisha Dabbas, Kymsleen Kholie, Satish Sharma",India,10/15/2017,"During a vacation with her parents, away from her concrete urban existence, a young girl learns to appreciate the joys of connecting with nature.",Biswajeet Bora,127 min,"Dramas, Independent Movies, International Movies",TV-14,2015,80203782,Aisa Yeh Jahaan,Movie
"Kay Kay Menon, Tisca Chopra, Arjun Mathur, Paoli Dam, Vishakha Singh, Manish Chaudhary, Vishesh Tiwari, Harsh Chhaya",India,10/15/2017,A young medical intern sets out to fight for justice after the negligence of the surgeon he looked up to ends in tragedy.,Sohail Tatari,127 min,"Dramas, International Movies, Thrillers",TV-14,2013,80201829,Ankur Arora Murder Case,Movie
"Kura Forrester, William Davis, Tina Cook, Hariata Moriarty",New Zealand,10/15/2017,"This documentary tries to reconstruct, through a series of interviews, a family's misguided attempt to heal a woman's pain through exorcism.",David Stubbs,90 min,"Documentaries, International Movies",TV-MA,2015,80126016,Belief: The Possession of Janet Moses,Movie
"Akanksha Puri, Avani Modi, Kyra Dutt, Ruhi Singh, Satarupa Pyne, Mita Vashisht, Keith Sequeira, Deepak Wadhwa, Indraneil Sengupta, Vikram Sakhalkar",India,10/15/2017,Five calendar models try to navigate the twists and turns thrown in their path by the seductive and ruthless world of glamour.,Madhur Bhandarkar,126 min,"Dramas, International Movies",TV-14,2015,80202089,Calendar Girls,Movie
"Gurpreet Ghuggi, Happy Raikoti, Kartar Cheema, Sardar Sohi, Shavendra Mahal, Karamjit Anmol, Pammi Bai, Nirmal Rishi, Manpreet Saggu",India,10/15/2017,"After returning from school and getting married, a popular farmer begins to arouse resentment and jealousy among those around him.",Parveen Kumar,121 min,"Dramas, International Movies",TV-14,2016,80203789,Darra,Movie
Paco Ignacio Taibo II,Venezuela,10/15/2017,"Spanish-Mexican writer Paco Ignacio Taibo II hits the road to trace the footsteps of Ernesto ""Che"" Guevara and sheds new light on the revolutionary.",Matías Gueilburt,119 min,"Documentaries, International Movies",TV-14,2017,80193423,El Che,Movie
"Vinay Pathak, Konkona Sen Sharma, Ranvir Shorey, Tannishtha Chatterjee, Rajit Kapoor, Vikram Gokhale, Vipin Sharma, Rahul Vohra, Saurabh Shukla, Asrani",India,10/15/2017,A former freedom fighter is forced to navigate the corridors of a disinterested bureaucracy to prove that he fought in India's freedom movement.,Ananth Narayan Mahadevan,109 min,"Dramas, Independent Movies, International Movies",TV-14,2015,80201825,Gour Hari Dastaan: The Freedom File,Movie
,Malaysia,10/15/2017,A young wannabe magician and his mischievous stage rabbit battle and sabotage each other while putting on shows.,Ah Loong,1 Season,"Kids' TV, TV Comedies",TV-Y7,2017,80202376,Harry & Bunnie,TV Show
"Purab Kohli, Tannishtha Chatterjee, Kirti Kulhari, Yashpal Sharma, Mukul Dev, Saidah Jules, Ravi Gossain, Rahul Singh",India,10/15/2017,A gifted young man from a drought-stricken village helps a group of ecologists find water for migrating flamingoes.,Girish Malik,132 min,"Dramas, Independent Movies, International Movies",TV-14,2013,80028360,Jal,Movie
"Swara Bhaskar, Bhanu Uday, Murli Sharma, Deep Raj Rana, Reema Debnath, Hemant Pandey, Saurabh Dubey, Sakha Kalyani",India,10/15/2017,"After relocating to a different town with her husband, a housewife begins to sense the existence of a mysterious presence in their new house.",Debaloy Dey,118 min,"Horror Movies, International Movies",TV-MA,2014,80203783,Macchli Jal Ki Rani Hai,Movie
"Kellan Lutz, Jess Weixler, Jesse Williams, Jamie Bamber, Lucía Guerrero, Fredric Lehne","United States, Spain",10/15/2017,"Two corporate spies with a $5 million haul for selling secrets are held hostage by a thief, triggering a game of cat and mouse to gain the upper hand.",Martin Rosete,84 min,Thrillers,R,2016,80142617,Money,Movie
